Rank,Median Household Income ▼,Zip,Population
466,"74,583.00",95674,922
467,"74,530.00",95829,"25,786"
468,"74,393.00",92071,"55,362"
469,"74,283.00",94564,"18,704"
470,"74,009.00",94949,"16,386"
471,"73,870.00",94591,"54,530"
472,"73,850.00",94610,"29,734"
473,"73,786.00",90230,"33,090"
474,"73,684.00",95687,"65,781"
475,"73,621.00",94924,"1,434"
476,"73,542.00",95439,566
477,"73,433.00",93022,"7,069"
478,"73,373.00",90068,"21,943"
479,"73,352.00",92555,"40,419"
480,"73,333.00",95002,"1,660"
481,"73,125.00",95429,77
482,"73,040.00",94518,"26,647"
483,"72,939.00",95368,"14,474"
484,"72,913.00",90048,"22,409"
485,"72,877.00",95126,"34,618"
486,"72,739.00",95628,"40,767"
487,"72,720.00",94558,"67,967"
488,"72,607.00",95444,774
489,"72,479.00",92352,"6,783"
490,"72,465.00",92675,"35,596"
491,"72,459.00",95133,"27,381"
491,"72,459.00",95661,"30,559"
493,"72,452.00",95258,"3,973"
494,"72,411.00",94508,"4,118"
495,"72,366.00",90403,"25,116"
496,"72,279.00",94401,"36,838"
497,"72,276.00",90807,"33,726"
498,"72,255.00",91007,"34,198"
499,"72,218.00",95209,"41,459"
500,"72,212.00",93455,"42,513"
501,"72,204.00",96140,"1,126"
502,"72,192.00",91106,"24,861"
503,"72,168.00",91016,"42,235"
504,"72,161.00",95018,"7,660"
505,"72,156.00",95405,"21,516"
506,"72,120.00",95254,682
507,"72,025.00",90803,"30,805"
508,"71,939.00",90240,"26,287"
509,"71,911.00",92123,"29,240"
510,"71,825.00",91710,"83,042"
511,"71,793.00",92882,"70,188"
512,"71,757.00",90745,"57,727"
513,"71,723.00",94545,"30,936"
514,"71,697.00",92253,"38,462"
515,"71,688.00",92270,"17,634"
516,"71,668.00",94014,"48,536"
517,"71,667.00",94933,"1,069"
518,"71,661.00",91941,"33,474"
519,"71,505.00",94112,"83,032"
520,"71,469.00",92624,"6,450"
521,"71,316.00",90232,"15,353"
522,"71,307.00",92122,"44,602"
523,"71,301.00",95417,170
524,"71,296.00",91504,"25,544"
525,"71,278.00",90025,"45,284"
526,"71,177.00",94580,"29,311"
527,"71,063.00",95920,417
528,"71,049.00",90036,"36,425"
529,"71,000.00",92358,"1,127"
530,"70,938.00",95633,"3,247"
531,"70,935.00",94501,"62,571"
532,"70,858.00",91351,"32,433"
533,"70,841.00",90601,"34,143"
533,"70,841.00",91791,"33,174"
535,"70,830.00",91040,"20,017"
536,"70,820.00",95648,"48,869"
537,"70,811.00",91104,"38,421"
538,"70,781.00",96128,758
539,"70,724.00",93536,"71,313"
540,"70,721.00",94585,"29,205"
541,"70,692.00",95127,"64,498"
542,"70,417.00",95709,"4,953"
543,"70,408.00",91506,"18,428"
544,"70,380.00",92591,"39,767"
545,"70,261.00",92119,"23,926"
546,"70,230.00",93950,"15,365"
547,"70,220.00",94121,"42,043"
548,"70,096.00",95128,"37,026"
549,"70,003.00",95758,"62,099"
550,"69,966.00",92337,"37,844"
551,"69,942.00",90211,"8,080"
552,"69,872.00",95005,"6,615"
553,"69,760.00",95524,"1,902"
554,"69,750.00",95703,"1,065"
555,"69,702.00",92347,"1,554"
555,"69,702.00",95607,315
557,"69,688.00",96114,"3,315"
558,"69,678.00",95023,"50,625"
559,"69,616.00",93003,"51,454"
560,"69,583.00",95677,"22,808"
561,"69,341.00",95050,"37,714"
562,"69,205.00",92003,"4,306"
563,"69,171.00",92344,"21,392"
564,"69,148.00",91356,"29,847"
565,"69,055.00",93723,"9,271"
566,"68,887.00",96145,"3,215"
567,"68,884.00",93013,"15,944"
568,"68,813.00",94602,"29,794"
569,"68,804.00",95472,"29,408"
570,"68,701.00",94572,"9,648"
571,"68,693.00",95110,"19,239"
572,"68,679.00",95831,"41,597"
573,"68,636.00",92378,166
573,"68,636.00",95465,"2,328"
575,"68,620.00",92587,"16,787"
576,"68,346.00",90066,"58,337"
577,"68,333.00",92061,"1,824"
578,"68,261.00",92518,"1,129"
579,"68,108.00",92029,"19,528"
580,"68,078.00",93907,"21,812"
581,"68,027.00",92203,"27,466"
582,"67,917.00",93563,375
583,"67,878.00",90755,"11,400"
584,"67,718.00",95117,"32,074"
585,"67,716.00",93940,"33,760"
586,"67,652.00",91020,"9,249"
587,"67,639.00",95316,"6,733"
588,"67,607.00",94519,"19,927"
589,"67,500.00",93449,"7,789"
590,"67,383.00",93103,"20,271"
591,"67,188.00",95004,"3,886"
592,"67,170.00",90039,"27,843"
593,"67,048.00",91740,"26,324"
594,"67,039.00",92612,"29,325"
595,"67,031.00",95017,654
596,"67,025.00",92109,"45,304"
597,"67,019.00",92833,"53,309"
598,"67,001.00",95404,"40,253"
599,"66,983.00",93531,338
600,"66,932.00",91917,896
601,"66,875.00",92382,"5,161"
602,"66,848.00",91792,"30,102"
603,"66,825.00",92107,"26,947"
604,"66,775.00",92342,"6,303"
605,"66,771.00",93463,"8,132"
606,"66,750.00",95426,"1,659"
607,"66,711.00",95337,"31,399"
608,"66,706.00",90605,"42,103"
609,"66,679.00",93628,266
610,"66,607.00",94132,"31,926"
611,"66,590.00",92374,"40,911"
612,"66,553.00",90631,"68,899"
613,"66,506.00",93420,"30,076"
614,"66,483.00",91978,"9,812"
615,"66,417.00",92059,"1,450"
616,"66,291.00",95620,"21,005"
617,"66,136.00",94599,"3,187"
618,"66,079.00",94805,"14,329"
619,"66,057.00",91790,"46,059"
620,"66,014.00",93422,"31,899"
621,"66,000.00",92008,"26,464"
622,"65,938.00",95668,752
623,"65,793.00",92103,"31,927"
624,"65,769.00",95691,"35,929"
625,"65,735.00",93287,141
626,"65,706.00",95467,"6,168"
627,"65,701.00",93036,"44,277"
628,"65,640.00",90604,"39,541"
629,"65,625.00",96006,400
630,"65,425.00",95409,"25,784"
631,"65,319.00",92117,"53,205"
632,"65,297.00",92108,"19,245"
633,"65,208.00",95356,"32,794"
634,"65,156.00",93546,"9,408"
635,"65,122.00",95662,"31,814"
636,"65,114.00",95651,517
637,"65,035.00",90404,"21,641"
638,"64,976.00",92057,"55,618"
639,"64,974.00",93446,"44,288"
640,"64,874.00",95382,"37,163"
641,"64,843.00",93023,"20,603"
642,"64,803.00",93313,"43,644"
643,"64,787.00",92040,"42,323"
644,"64,773.00",95843,"47,172"
645,"64,738.00",92223,"46,719"
646,"64,712.00",95442,"3,154"
647,"64,701.00",90715,"20,283"
648,"64,660.00",94577,"45,808"
649,"64,625.00",94931,"8,570"
650,"64,612.00",92321,"1,244"
651,"64,583.00",94512,214
652,"64,545.00",90041,"28,439"
653,"64,479.00",95669,"2,676"
654,"64,375.00",95545,99
655,"64,355.00",95242,"26,187"
656,"64,219.00",96085,50
657,"64,140.00",92313,"12,252"
658,"64,089.00",92780,"60,438"
659,"64,034.00",95993,"35,847"
660,"63,948.00",92373,"34,017"
661,"63,934.00",93711,"37,630"
662,"63,901.00",95631,"5,910"
663,"63,871.00",92354,"21,555"
664,"63,833.00",90606,"32,978"
665,"63,816.00",95982,"3,251"
666,"63,750.00",92398,"1,165"
666,"63,750.00",95776,"21,827"
668,"63,740.00",91722,"36,352"
669,"63,728.00",92056,"52,758"
670,"63,722.00",91905,"1,370"
671,"63,721.00",95602,"18,498"
672,"63,610.00",92868,"27,353"
673,"63,604.00",95658,"6,261"
674,"63,544.00",91602,"18,315"
675,"63,529.00",95941,505
676,"63,514.00",93428,"6,348"
677,"63,413.00",92585,"20,148"
678,"63,248.00",95330,"17,702"
679,"63,173.00",94109,"54,768"
680,"63,112.00",93440,"1,472"
681,"63,111.00",91202,"23,007"
682,"63,105.00",93675,"2,808"
683,"63,045.00",91780,"35,274"
684,"63,029.00",95403,"44,918"
685,"62,969.00",93427,"5,279"
685,"62,969.00",95678,"41,929"
687,"62,828.00",92806,"39,616"
688,"62,677.00",92879,"48,654"
689,"62,589.00",92866,"15,473"
690,"62,558.00",90305,"15,501"
691,"62,533.00",90502,"17,135"
691,"62,533.00",93555,"32,967"
693,"62,500.00",91501,"19,829"
693,"62,500.00",95043,636
695,"62,424.00",95245,"2,064"
696,"62,384.00",95252,"14,143"
697,"62,372.00",91752,"28,649"
698,"62,365.00",95060,"47,148"
699,"62,262.00",95376,"49,398"
700,"62,253.00",95062,"36,358"
701,"62,230.00",93921,"3,164"
702,"62,182.00",94515,"7,314"
703,"62,180.00",95946,"10,206"
704,"62,109.00",92305,321
705,"62,076.00",95448,"17,078"
706,"62,056.00",95223,"3,042"
707,"62,043.00",95692,"4,812"
708,"62,016.00",91316,"28,190"
709,"61,952.00",91730,"66,979"
710,"61,934.00",92840,"56,291"
711,"61,563.00",94571,"8,171"
712,"61,525.00",92595,"31,139"
713,"61,500.00",95113,"1,163"
714,"61,488.00",96062,"1,253"
715,"61,466.00",93601,"2,457"
716,"61,379.00",93444,"19,578"
717,"61,319.00",93239,"1,950"
718,"61,310.00",94573,142
719,"61,308.00",93437,"3,464"
720,"61,296.00",91916,"1,580"
721,"61,270.00",91761,"59,892"
722,"61,255.00",95632,"30,064"
723,"61,250.00",95228,"4,576"
724,"61,157.00",96120,"1,091"
725,"60,959.00",91306,"48,707"
726,"60,952.00",94710,"6,439"
727,"60,920.00",92110,"28,006"
728,"60,899.00",91342,"91,701"
728,"60,899.00",95220,"7,501"
730,"60,896.00",91748,"47,859"
731,"60,802.00",90401,"7,035"
732,"60,750.00",95938,"3,936"
733,"60,724.00",93243,"1,720"
734,"60,720.00",95713,"9,920"
735,"60,660.00",95619,"4,937"
736,"60,655.00",92557,"51,871"
737,"60,648.00",95685,"4,278"
738,"60,625.00",92549,"2,652"
739,"60,587.00",93265,"2,892"
740,"60,579.00",95626,"6,335"
741,"60,556.00",95075,330
742,"60,544.00",90701,"16,698"
743,"60,536.00",95064,"8,425"
744,"60,532.00",91723,"20,010"
745,"60,523.00",90650,"106,521"
746,"60,513.00",93561,"34,246"
747,"60,459.00",95949,"19,640"
748,"60,268.00",96103,"1,357"
749,"60,230.00",94134,"40,343"
750,"60,162.00",92154,"86,740"
751,"60,148.00",91345,"18,196"
752,"60,139.00",93517,796
753,"60,124.00",91977,"59,481"
754,"60,118.00",91010,"25,797"
755,"60,100.00",95476,"38,822"
756,"60,089.00",94060,"1,650"
757,"60,000.00",93925,"1,672"
758,"59,995.00",92346,"58,845"
759,"59,965.00",95212,"25,244"
